,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
12982,Minister,(1975),2,4,none,"[60, 60]",12,1.33,[Rudi Hoffmann],"[Rudi Hoffmann, Franz Vohwinkel]","[KOSMOS, Pelikan, TM Spiele]","[Dice, Political]","[Dice Rolling, Roll / Spin and Move]"
12983,Looney Tunes Trading Card Game,(2000),2,4,none,"[20, 20]",––,1.00,[James Ernest],[],[Wizards of the Coast],"[Card Game, Collectible Components, Movies / TV / Radio theme]",[]
12984,Blood Wars,(1995),2,8,5,"[90, 90]",12,2.25,[Steven Schend],"[Ned Dameron, Tony DiTerlizzi, Dawn Murin, Alan Pollack]",[TSR],"[Card Game, Collectible Components]",[]
12985,Bet Your Brain,(2008),2,2,none,"[60, 60]",12,2.33,[Gitte Engel],[],"[danspil, iToy, Upcoming Minds]",[Trivia],[Betting/Wagering]
12986,Abuse: The Final Insult,(2004),2,4,4+,"[Time:, Time:]",12,1.30,[Greg Stolze],[Samuel Araya],[EOS Press],"[Card Game, Word Game]",[Hand Management]
12987,World War 3,(1975),2,2,none,"[360, 360]",12,3.29,[Jim Dunnigan],[Redmond A. Simonsen],"[SPI (Simulations Publications, Inc.)]","[Modern Warfare, Wargame]",[Hex-and-Counter]
12988,The Lord of the Rings Tarot Deck and Card Game,(1997),2,6,none,"[20, 20]",12,1.40,[Mike Fitzgerald],[Peter Pracownik],"[EDAF, U.S. Games Systems, Inc.]","[Card Game, Fantasy, Novel-based]",[Hand Management]
12989,Sudoku Moyo,(2007),2,2,2,"[Time:, Time:]",––,1.90,[Günter Cornett],[],[intellego holzspiele],"[Abstract Strategy, Puzzle]","[Area Control / Area Influence, Pattern Building]"
12990,Monopoly: Pokémon,(1995),2,6,none,"[120, 120]",8,2.07,[(Uncredited)],[],[Parker Brothers],"[Children's Game, Economic, Fantasy, Movies / TV / Radio theme, Negotiation, Video Game Theme]","[Auction/Bidding, Roll / Spin and Move, Set Collection, Trading]"
12991,Isolate,(2003),2,4,none,"[45, 45]",8,1.75,[Guido Lap],[],"[Educational Insights, Goldsieber Spiele, Noris Spiele, Pierre Belvédère, Recent Toys International, Tobar Ltd]",[Abstract Strategy],[]
12992,Monty Python and the Holy Grail CCG,(1996),2,2,2,"[30, 30]",12,2.14,"[Brian Jelke, Steve Johansson, David Kenzer, Adam Niepomnik, Mark Schultz]","[Gerda Hansen, Brian Jelke, Steve Johansson, David Kenzer, Jennifer Kenzer, Rebecca Tudor]",[Kenzer and Company],"[Card Game, Humor, Medieval]","[Card Drafting, Singing]"
12993,Der Schattendieb,(2001),3,7,none,"[30, 30]",8,1.33,[Jürgen P. Grunau],[Reinhard Horst],[AMIGO Spiel + Freizeit GmbH],"[Bluffing, Card Game, Memory]",[]
12994,Wyprawa,(2005),2,5,none,"[20, 20]",8,1.25,"[Krzysztof Schechtel, Marcin Tomczyk]","[Jakub Jabłoński, Jacek Kowalski, Paweł Miedźwiński]","[Imperium, Krakowska Grupa Kreatywna]","[Card Game, Dice, Fantasy]","[Dice Rolling, Set Collection]"
12995,Survival of the Witless,(1997),3,8,none,"[60, 60]",12,1.80,[(Uncredited)],[Brien J. Miller],[Avalanche Press Ltd.],"[Card Game, Humor, Political]","[Hand Management, Set Collection]"
12996,Fei Xing,Qi,2,4,4,"[90, 90]",10,1.11,[(Uncredited)],[],[(Public Domain)],"[Dice, Racing]","[Dice Rolling, Roll / Spin and Move]"
12997,Star Trek: The Next Generation,(1993),2,4,none,"[90, 90]",12,1.60,[(Uncredited)],[],[Classic Games],"[Exploration, Movies / TV / Radio theme, Science Fiction, Space Exploration, Trivia]","[Point to Point Movement, Secret Unit Deployment]"
12998,Simply Ingenious,(2008),2,4,none,"[20, 20]",7,1.18,[Reiner Knizia],[Michaela Kienle],"[Bard Centrum Gier, Devir, Hobby World, KOSMOS, Sophisticated Games, White Goblin Games]",[],"[Chit-Pull System, Press Your Luck, Set Collection]"
12999,The Game of Life: A Jedi's Path,(2002),2,4,4,"[60, 60]",9,1.35,"[Rob Daviau, Reuben Klamer]",[],"[Hasbro, Milton Bradley]","[Movies / TV / Radio theme, Science Fiction]",[Roll / Spin and Move]
13000,History of the Second World War,(1985),2,2,none,"[360, 360]",12,2.40,[Nick Schuessler],[],[Task Force Games],"[Wargame, World War II]",[Hex-and-Counter]
13001,Whatzit?,(1980),3,6,4,"[30, 30]",12,1.63,"[Michel Laclos, Liliane Laclos, Paul Sellers]",[],"[Borras Plana S.A., Damm / Egmont, Habourdin International, Milton Bradley, Parker Brothers, RoseArt, Selecta Spielzeug, Waddington's Games, Inc., Warren]","[Card Game, Humor, Memory, Party Game, Puzzle, Trivia, Word Game]",[Memory]
13002,Monopoly: Disney,(2001),2,8,none,"[90, 90]",8,2.04,[(Uncredited)],[],"[Estrela, Hasbro, Parker Brothers]","[Children's Game, Economic, Movies / TV / Radio theme, Negotiation]","[Auction/Bidding, Roll / Spin and Move, Set Collection, Trading]"
13003,Air War: Modern Tactical Air Combat,(1977),2,4,2,"[120, 120]",12,4.63,[David C. Isby],"[Rodger B. MacGowan, Keith Parkinson, Redmond A. Simonsen]","[Hobby Japan, SPI (Simulations Publications, Inc.), TSR]","[Aviation / Flight, Modern Warfare, Wargame]",[Hex-and-Counter]
13004,Curse of the Idol,(1990),2,4,3–4,"[60, 60]",8,1.26,[(Uncredited)],[David Sque],"[El Greco, MB Giochi, MB Jeux, MB Juegos, MB peli, MB Spellen, MB Spiele, Milton Bradley]","[Adventure, Children's Game, Dice, Exploration]","[Pick-up and Deliver, Roll / Spin and Move]"
13005,Myst,(1998),2,6,4,"[30, 30]",10,2.00,[(Uncredited)],[],[University Games],"[Puzzle, Video Game Theme]",[]
13006,Borodino: Doomed Victory,(1990),2,2,none,"[240, 240]",12,3.22,[Gary C. Morgan],[],[3W (World Wide Wargames)],"[Napoleonic, Wargame]",[Hex-and-Counter]
13007,Smart Ass,(2006),2,8,4–6,"[30, 30]",12,1.38,[Rob Elliot],[],[University Games],"[Humor, Party Game, Trivia]","[Dice Rolling, Roll / Spin and Move]"
13008,Hands Down,(1964),3,4,4,"[10, 10]",5,1.08,"[Marvin Glass, Harvey ""Hank"" Kramer]",[],"[Arxon, Hasbro, Ideal, MB Giochi, MB Jeux, MB spel, Milton Bradley, Pressman Toy Corp.]","[Action / Dexterity, Bluffing, Card Game, Children's Game, Real-time]","[Hand Management, Set Collection, Simultaneous Action Selection]"
13009,Dr. Seuss Green Eggs and Ham Game,(1996),2,4,none,"[30, 30]",4,1.14,[(Uncredited)],[Theodor Seuss Geisel],[University Games],"[Children's Game, Novel-based]",[Roll / Spin and Move]
13010,Ostindiska Kompaniet,(1991),2,5,3–4,"[Time:, Time:]",10,2.55,[Dan Glimne],[Ann-Marie Hedström],[G&RRR],"[Economic, Nautical]","[Commodity Speculation, Pick-up and Deliver]"
13011,Archer: The Danger Zone! Board Game,(2014),2,8,5–6,"[40, 40]",15,1.50,[],[],[Cryptozoic Entertainment],[Movies / TV / Radio theme],[]
13012,"Operation Elope, 1918-1919",(2001),2,2,none,"[10, 10]",12,2.86,[Perry Moore],[],[Decision Games (I)],"[Dice, Fighting, Wargame, World War I]","[Hex-and-Counter, Simulation]"
13013,Big Fish Lil' Fish,(2005),2,6,5–6,"[15, 15]",6,1.00,[Brady Lang],[],[MGA Entertainment],"[Animals, Card Game, Children's Game]","[Simultaneous Action Selection, Trick-taking]"
13014,Ripley's Believe It or Not!,(1984),2,6,none,"[45, 45]",8,1.25,[Bruce Whitehill],[],[Milton Bradley],"[Bluffing, Card Game, Trivia]",[Point to Point Movement]
13015,Survivor: The Australian Outback Card Game,(2000),4,8,8,"[20, 20]",18,1.00,[(Uncredited)],[],[Mattel],[Movies / TV / Radio theme],[Campaign / Battle Card Driven]
13016,Army of Darkness Card Game,(2004),2,4,3–4,"[30, 30]",12,1.33,"[M. Alexander Jurkat, George Vasilakos]",[George Vasilakos],[Eden Studios],"[Card Game, Movies / TV / Radio theme]",[Hand Management]
13017,Quicksand,(1989),2,4,none,"[30, 30]",8,1.08,[(Uncredited)],[],"[Editrice Giochi, Parker Brothers]","[Adventure, Exploration, Racing]",[Roll / Spin and Move]
