,Title,Year Published,Min Players,Max Players,Best Players,Play Time,Age,Complexity,Designers,Artists,Publishers,Categories,Mechanisms
1548,The Napoleonic Wars,(2002),2,5,4–5,"[240, 240]",12,3.46,"[Don Greenwood, Ben Knight, Mark McLaughlin]","[Rodger B. MacGowan, Mark Simonitch]",[GMT Games],"[Napoleonic, Wargame]",[Campaign / Battle Card Driven]
1549,DC Comics Deck-Building Game: Forever Evil,(2014),2,5,3,"[45, 75]",––,2.52,[Matt Hyra],[],[Cryptozoic Entertainment],"[Card Game, Comic Book / Strip]",[Deck / Pool Building]
1550,Talisman,(1983),2,6,3–4,"[240, 240]",9,2.18,[Robert Harris],"[Christos Achilleos, Gary Chalk]","[Altar Games, Casper, Gallimard, Games Workshop Ltd., Kod Kod, Pelito, Protocol Productions, R.I.P.A., Schmidt Spiele, Sfera, Target Games, Ventura International]","[Adventure, Exploration, Fantasy, Fighting]","[Dice Rolling, Role Playing, Roll / Spin and Move, Variable Player Powers]"
1551,Isle of Trains,(2014),2,4,3,"[45, 45]",13,2.00,"[Seth Jaffee, Dan Keltner]","[Daniel Guidera, Christopher Kirkman]",[Greater Than Games (Dice Hate Me Games)],"[Card Game, Trains, Transportation]","[Hand Management, Set Collection]"
1552,Sator Arepo Tenet Opera Rotas,(2008),2,4,4,"[60, 60]",8,2.40,"[Enrico Pesce, Federica Rinaldi]",[Paolo Vallerga],"[Post  Scriptum, Scribabs]","[Fantasy, Maze, Racing]","[Action Point Allowance System, Modular Board, Tile Placement]"
1553,Fast Flowing Forest Fellers,(2008),2,5,4–5,"[30, 30]",8,1.53,[Friedemann Friese],"[Lars-Arne ""Maura"" Kalusky]","[2F-Spiele, Filosofia Éditions, Rio Grande Games]","[Racing, Sports]","[Hand Management, Modular Board, Point to Point Movement]"
1554,Space Hulk (second edition),(1996),2,2,2,"[90, 90]",10,2.63,"[Dean Bass, Andy Chambers, Chris Colston, Richard Halliwell, Jervis Johnson, Andy Jones, Paul Murphy]","[Wayne England, David Gallagher, Mark Gibbons, Geoff Taylor, Richard Wright]",[Games Workshop Ltd.],"[Fighting, Miniatures, Science Fiction]","[Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers]"
1555,Hold the Line,(2008),2,2,2,"[60, 60]",––,1.83,"[Matt Burchfield, Grant Wylie, Mike Wylie]","[Sean Cooke, Don Troiani, Gary Zaboly]",[Worthington Games],"[Age of Reason, American Revolutionary War, Wargame]","[Action Point Allowance System, Dice Rolling, Hex-and-Counter, Modular Board]"
1556,G.E.V.,(1978),2,2,2,"[75, 75]",12,2.27,[Steve Jackson (I)],"[Winchell Chung, David R. Deitrick, Denis Loubet, Dave Martin, Philip Reed, Brian Wilson]","[Metagaming, Steve Jackson Games]","[Fighting, Science Fiction, Wargame]",[Hex-and-Counter]
1557,Kings & Things,(1986),2,4,4,"[120, 120]",12,2.66,"[Doug Kaufman, Robert J. Kuntz, Tom Wham]","[Ray-Mel Cornelius, Charles Elliot (I), Loring Eutemey, Martin Hoffmann, Richard A. Johnson, Doris Matthäus, Claus Stephan, David A. Trampier, Walter Velez, Tom Wham, Kevin Wilkins]","[Games Workshop Ltd., Hobby Japan, Pegasus Spiele, West End Games, Z-Man Games]","[Bluffing, Exploration, Fantasy, Territory Building, Wargame]","[Area Control / Area Influence, Area Movement, Modular Board, Secret Unit Deployment]"
1558,Serenissima (second edition),(2012),2,4,4,"[90, 90]",13,2.92,[Dominique Ehrhard],"[Arnaud Demaegd, Dominique Ehrhard]","[Asmodee, Stupor Mundi, Ystari Games]","[Economic, Nautical, Renaissance]","[Area Control / Area Influence, Area Movement, Dice Rolling, Partnerships, Pick-up and Deliver, Trading]"
1559,Dschunke,(2002),3,4,4,"[45, 60]",10,2.54,[Michael Schacht],"[Jörg Asselborn, Christof Tisch]",[Queen Games],[Economic],[Auction/Bidding]
1560,Timeline Challenge,(2015),2,10,4,"[30, 30]",10,1.32,"[Cyril Demaegd, Frédéric Henry]","[Xavier Collette, Jérémie Fleury]",[Asmodee],"[Card Game, Educational, Trivia]","[Betting/Wagering, Simultaneous Action Selection]"
1561,Pax Renaissance,(2016),2,4,3–4,"[60, 120]",12,4.00,"[Phil Eklund, Matt Eklund]",[],"[Fox in the Box, Sierra Madre Games]",[Renaissance],"[Card Drafting, Simulation]"
1562,Comuni,(2008),2,5,none,"[90, 90]",12,3.30,"[Acchittocca, Virginio Gigli]","[Giorgio Albertini, Giuseppe Rava]","[ElfinWerks, HUCH! & friends, TENKIGAMES]","[City Building, Medieval]","[Auction/Bidding, Card Drafting, Partnerships, Set Collection]"
1563,Pizarro & Co.,(2002),3,6,6,"[45, 45]",12,2.45,[Thomas Lehmann],[Franz Vohwinkel],"[999 Games, Hans im Glück Verlags-GmbH, Kaissa Chess & Games, Rio Grande Games]","[Exploration, Renaissance]",[Auction/Bidding]
1564,Kingmaker,(1974),2,7,5,"[240, 240]",12,3.07,[Andrew McNeil],"[Don Greenwood, W. Scott Moores, Philmar Limited, Randall C. Reed, Thomas N. Shaw, Mick (Mike) Uhl]","[Ariel, Avalon Hill, Gibsons Games, TM Games]","[Medieval, Political, Renaissance, Wargame]","[Area Movement, Voting]"
1565,10 Days in Asia,(2007),2,4,2,"[25, 25]",10,1.44,"[Alan R. Moon, Aaron Weissblum]","[John Kovalic, Cathleen Quinn-Kinney]",[Out of the Box Publishing],"[Aviation / Flight, Travel]","[Hand Management, Route/Network Building, Tile Placement]"
1566,Hordes,(2006),2,8,2,"[60, 60]",12,3.28,"[Mike McVey, Brian Snoddy, Matt Wilson]",[],"[Edge Entertainment, Privateer Press]","[Book, Fantasy, Miniatures]",[Variable Player Powers]
1567,Carcassonne: Star Wars,(2015),2,5,3,"[35, 35]",7,1.79,[Klaus-Jürgen Wrede],[],"[Bard Centrum Gier, Bergsala Enigma, Devir, Hans im Glück Verlags-GmbH, Kaissa Chess & Games, White Goblin Games]","[Movies / TV / Radio theme, Science Fiction]","[Dice Rolling, Tile Placement]"
1568,Queen's Architect,(2015),2,4,4,"[60, 60]",10,2.74,[Volker Schächtele],[Dennis Lohausen],[Queen Games],[Medieval],"[Point to Point Movement, Set Collection, Worker Placement]"
1569,Jet Set,(2008),2,6,4,"[90, 120]",12,2.58,[Kris Gould],[Mike Raabe],[Wattsalpoag Games],"[Aviation / Flight, Economic, Transportation, Travel]","[Card Drafting, Point to Point Movement, Route/Network Building]"
1570,Battleship Galaxies,(2011),2,4,2,"[70, 70]",13,2.39,"[Colby Dauch, Dustin DePenning, Jerry Hawthorne, Craig Van Ness]",[John Ariosa],"[Hasbro, Wizards of the Coast]","[Miniatures, Science Fiction, Wargame]","[Action Point Allowance System, Area Movement, Dice Rolling]"
1571,10 Days in the USA,(2003),2,4,none,"[30, 30]",10,1.41,"[Alan R. Moon, Aaron Weissblum]","[John Kovalic, Cathleen Quinn-Kinney]",[Out of the Box Publishing],[Travel],"[Hand Management, Route/Network Building, Tile Placement]"
1572,Risk: The Lord of the Rings Trilogy Edition,(2003),2,4,4,"[180, 180]",9,2.34,"[Stephen Baker, Barry Yearsley]",[],"[Hasbro, Parker Brothers]","[Adventure, Fantasy, Movies / TV / Radio theme, Novel-based, Wargame]","[Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling]"
1573,Santa Fe Rails,(2001),2,5,4,"[60, 60]",12,2.51,[Alan R. Moon],"[Rodger B. MacGowan, Mark Simonitch]",[GMT Games],[Trains],"[Card Drafting, Route/Network Building, Simultaneous Action Selection, Stock Holding]"
1574,De Bellis Antiquitatis,(1990),2,6,2,"[60, 60]",14,2.83,"[Philip C. Barker, Sue Laflin Barker, Richard Bodley Scott]","[Ingo Martin, Josef Ochmann]","[Hobby Products GmbH, Wargames Research Group]","[Ancient, Book, Medieval, Miniatures, Wargame]","[Action Point Allowance System, Dice Rolling, Modular Board]"
1575,Zombie Dice,(2010),2,99,4,"[10, 20]",10,1.11,[Steve Jackson (I)],[Alex Fernandez (I)],"[Black Monk, Edge Entertainment, Galápagos Jogos, Hobby World, Pegasus Spiele, Steve Jackson Games]","[Dice, Horror, Humor, Party Game, Zombies]","[Dice Rolling, Press Your Luck]"
1576,Blood Bound,(2013),6,12,10,"[30, 30]",14,1.70,[Kalle Krenzer],[],"[Arclight, Edge Entertainment, Fantasy Flight Games, Giochi Uniti, Heidelberger Spieleverlag, Swan Panasia Co., Ltd.]","[Bluffing, Deduction, Fantasy, Horror, Negotiation, Party Game]","[Partnerships, Role Playing, Variable Player Powers]"
1577,Hellenes: Campaigns of the Peloponnesian War,(2009),2,2,2,"[240, 240]",12,3.01,[Craig Besinque],"[Donal Hegarty, Rodger B. MacGowan, Mark Simonitch]",[GMT Games],"[Ancient, Wargame]","[Area Movement, Campaign / Battle Card Driven, Dice Rolling, Secret Unit Deployment]"
1578,Battlefleet Gothic,(1999),2,4,2,"[180, 180]",12,2.91,[Andy Chambers],"[Dave Andrews, John Blanche, Alex Boyd, Wayne England, Talima Fox, Des Hanley, Neil Hodgson, Nuala Kennedy, Paul Smith, John Wigley, Richard Wright]",[Games Workshop Ltd.],"[Miniatures, Science Fiction]","[Area Movement, Variable Player Powers]"
1579,"Downtown: Air War Over Hanoi, 1965-1972",(2004),2,2,2,"[240, 240]",14,4.06,[Lee Brimmicombe-Wood],"[Rodger B. MacGowan, Philip A. Markgraf]",[GMT Games],"[Aviation / Flight, Modern Warfare, Vietnam War, Wargame]","[Chit-Pull System, Dice Rolling, Hex-and-Counter, Simulation]"
1580,Linq,(2004),4,8,none,"[45, 45]",10,1.43,"[Andrea Meyer, Erik Nielsen]","[Design Edge, Jean Laurent, Pierô, David Raphet, Sensit Communication GmbH, Sebastian Wagner]","[Arclight, BeWitched Spiele, Endless Games (I), In ludo veritas, KOSMOS, Magellan]","[Party Game, Spies/Secret Agents, Word Game]","[Partnerships, Pattern Recognition, Voting]"
1581,Mystery Rummy: Jekyll & Hyde,(2001),2,2,2,"[45, 45]",10,1.53,[Mike Fitzgerald],"[Jody Boginski-Barbessi, Christine Conrad, Virginijus Poshkus]","[Eagle-Gryphon Games, Pegasus Spiele, U.S. Games Systems, Inc.]","[Card Game, Murder/Mystery]","[Hand Management, Set Collection]"
1582,Infection: Humanity's Last Gasp,(2013),1,1,1,"[45, 45]",13,2.08,[John Gibson],"[Michelle Ball, Chris Kiser, Barry Pike, III]",[Victory Point Games],"[Medical, Puzzle]",[Dice Rolling]
1583,Beowulf: The Legend,(2005),2,5,5,"[60, 60]",12,2.25,[Reiner Knizia],[John Howe],"[Editrice Giochi, Esdevium, Fantasy Flight Games, KOSMOS, Sophisticated Games]","[Adventure, Fantasy, Mythology, Novel-based]","[Auction/Bidding, Card Drafting, Hand Management, Press Your Luck, Simultaneous Action Selection]"
1584,Santa Cruz,(2012),2,4,3,"[45, 45]",8,2.20,[Marcel-André Casasola Merkle],[Michael Menzel],"[Filosofia Éditions, Giochi Uniti, Hans im Glück Verlags-GmbH, Lautapelit.fi]","[Exploration, Transportation]","[Hand Management, Point to Point Movement]"
1585,Storm Over Stalingrad,(2006),2,2,2,"[180, 180]",12,2.21,[Tetsuya Nakamura],[Nicolás Eskubi],"[Game Journal, Multi-Man Publishing]","[Wargame, World War II]",[Area-Impulse]
1586,German Railways,(2008),3,5,5,"[60, 60]",12,2.92,[Harry Wu],[Harald Lieske],"[Queen Games, Winsome Games]","[Economic, Trains, Transportation]","[Auction/Bidding, Route/Network Building, Stock Holding]"
1587,Mint Works,(2017),1,4,none,"[10, 20]",13,1.59,[Justin Blaske],"[Felix Janson, Thomas Tamblyn]",[Five24 Labs],"[Economic, Industry / Manufacturing]",[Worker Placement]
1588,Leader 1: Hell of the North,(2011),2,10,3–4,"[45, 45]",14,2.70,"[Christophe Leclercq, Alain Ollier]","[Giorgio De Michele, Tony Rochon]","[Blackrock Games, The Game Master BV, Ghenos Games, HomoLudicus]","[Racing, Sports]","[Modular Board, Simulation]"
1589,Phantom Leader,(2010),1,1,1,"[30, 30]",12,2.57,[Dan Verssen],[Wan Chiu],[Dan Verssen Games (DVG)],"[Aviation / Flight, Modern Warfare, Vietnam War, Wargame]","[Campaign / Battle Card Driven, Card Drafting, Dice Rolling]"
1590,Citrus,(2013),2,5,3,"[60, 60]",10,2.50,[Jeffrey D. Allers],[Klemens Franz],"[dlp games, Tasty Minstrel Games]","[Economic, Farming, Territory Building]",[Tile Placement]
1591,Senji,(2008),3,6,6,"[90, 90]",––,2.97,"[Bruno Cathala, Serge Laget]",[Bertrand Benoit],[Asmodee],"[Bluffing, Medieval, Negotiation]","[Area Movement, Auction/Bidding, Card Drafting, Dice Rolling, Hand Management, Set Collection, Simultaneous Action Selection, Trading]"
1592,Marvel Heroes,(2006),2,4,4,"[120, 120]",12,3.07,"[Roberto Di Meglio, Marco Maggi, Francesco Nepitello, Salvatore Pierucci]","[Salvador Larroca, Fabio Maiorana, Kurt Miller, Bob Naismith, Paco Roca]","[Asmodee, Devir, Fantasy Flight Games, Heidelberger Spieleverlag, Kaissa Chess & Games, Nexus]","[Comic Book / Strip, Fighting, Miniatures]","[Action Point Allowance System, Dice Rolling, Hand Management, Point to Point Movement, Set Collection, Variable Player Powers]"
1593,Dungeon Raiders,(2011),3,5,5,"[20, 60]",8,1.40,[Phil Walker-Harding],"[Chechu Nieto, Meredith Walker, Phil Walker-Harding]","[Adventureland Games, Devir, GaGa Games, HomoLudicus, Passport Game Studios, テンデイズゲームズ (Ten Days Games)]","[Adventure, Bluffing, Card Game, Exploration, Fantasy, Fighting]","[Hand Management, Player Elimination, Simultaneous Action Selection, Take That, Variable Player Powers]"
1594,BraveRats,(2011),2,2,2,"[15, 15]",8,1.15,[Seiji Kanai],"[Noboru Sugiura, Christophe Swal]","[999 Games, Albi, Blue Orange (EU), Blue Orange Games, Japon Brand, Kanai Factory, Pegasus Spiele, QBIST]","[Card Game, Fantasy]",[Simultaneous Action Selection]
1595,Kashgar: Händler der Seidenstraße,(2013),2,4,2,"[45, 45]",12,2.32,[Gerhard Hecht],[Franz Vohwinkel],[KOSMOS],"[Card Game, Economic]",[Deck / Pool Building]
1596,Dreadfleet,(2011),2,10,2,"[60, 60]",12,2.92,[Phil Kelly],"[John Blanche, Alex Boyd]",[Games Workshop Ltd.],"[Fantasy, Fighting, Miniatures, Nautical, Pirates, Wargame]",[Dice Rolling]
1597,Flash Duel: Second Edition,(2011),1,5,2,"[5, 5]",––,1.61,[David Sirlin],[],[Sirlin Games],"[Card Game, Fantasy, Fighting]","[Hand Management, Partnerships, Variable Player Powers]"
1598,Xenon Profiteer,(2015),2,4,none,"[30, 30]",10,2.18,"[T. C. Petty, III]",[Daniel Solis],[Eagle-Gryphon Games],"[Card Game, Economic, Industry / Manufacturing]","[Deck / Pool Building, Hand Management, Simulation]"
1599,Triassic Terror,(2013),2,6,4,"[90, 120]",14,2.78,[Peter Hawes],"[Kurt Miller, Allen Smithee]","[Eagle-Gryphon Games, Kayal Games]","[Animals, Prehistoric, Territory Building]","[Area Control / Area Influence, Card Drafting]"
1600,Attila,(2000),2,5,4,"[45, 45]",10,2.57,[Karl-Heinz Schmiel],[Franz Vohwinkel],"[999 Games, Hans im Glück Verlags-GmbH, Rio Grande Games]",[Ancient],"[Area Control / Area Influence, Stock Holding]"
1601,Cardline: Animals,(2012),2,8,4,"[15, 15]",7,1.18,[Frédéric Henry],[Gaël Lannurien],"[Asmodee, Asterion Press, Bombyx, Gém Klub Kft., GoKids 玩樂小子, REBEL.pl, REXhry]","[Animals, Card Game, Educational]",[]
1602,Bazaar,(1967),2,6,3,"[45, 45]",8,2.01,[Sid Sackson],[Pixel Productions Inc.],"[3M, Discovery Toys, Eagle-Gryphon Games, Estrela, Klee, Parker Spiele, Schmidt International, Schmidt Spiele]","[Abstract Strategy, Puzzle]","[Set Collection, Trading]"
1603,HeroClix,(2002),2,2,2,"[60, 60]",10,2.80,"[Monte Cook, Jeff Grubb, Seth Johnson, Jon Leitheusser, Jeff Quick, Jordan Weisman]","[Bernard Chang, Sandra Garavito]","[NECA, WizKids]","[Collectible Components, Comic Book / Strip, Dice, Fighting, Miniatures]","[Action Point Allowance System, Dice Rolling, Variable Player Powers]"
1604,The Great Fire of London 1666,(2010),3,6,none,"[80, 120]",12,2.53,[Richard Denning],[Andreas Resch],"[La Tana dei Goblin, Medusa Games, Pandasaurus Games, Prime Games, REBEL.pl]",[Renaissance],"[Action Point Allowance System, Area Movement, Simulation]"
1605,Time of Soccer,(2014),1,4,3,"[120, 120]",12,3.18,[Lipschitzz],"[Borja Arturo Segura Cerdeira, Marcos Arnáiz Ramos]",[Elite Games (II)],"[Economic, Sports]","[Dice Rolling, Set Collection, Simulation]"
1606,Nacht der Magier,(2005),2,4,4,"[10, 20]",5,1.12,"[Kirsten Becker, Jens-Peter Schliemann]",[Rolf Vogt],"[Bergsala Enigma, Competo / Marektoy, Devir, Drei Magier Spiele, Gigamic, Oya, Schmidt Spiele]","[Action / Dexterity, Children's Game, Fantasy]",[]
1607,Black Friday,(2010),2,5,4,"[55, 55]",12,2.82,[Friedemann Friese],[Christian Fiore],"[KOSMOS, Rio Grande Games]",[Economic],"[Betting/Wagering, Commodity Speculation, Simulation, Stock Holding]"
1608,Steam over Holland,(2007),2,5,3,"[180, 180]",––,3.80,[Bart Van Dijk],[],[Vendetta],"[Economic, Trains]","[Auction/Bidding, Route/Network Building, Stock Holding, Tile Placement]"
1609,Martian Dice,(2011),2,99,3,"[10, 10]",8,1.08,[Scott Almes],[Josh Cappel],"[Pegasus Spiele, Tasty Minstrel Games]","[Dice, Humor, Party Game, Science Fiction]","[Dice Rolling, Press Your Luck, Set Collection]"
1610,Jenseits von Theben,(2004),2,4,3,"[75, 75]",10,2.44,[Peter Prinz],[],[Prinz Spiele],"[Exploration, Travel]",[Time Track]
1611,The Caucasus Campaign,(2009),2,2,2,"[360, 360]",––,2.95,[Mark Simonitch],"[Rodger B. MacGowan, Mark Simonitch]",[GMT Games],"[Wargame, World War II]","[Dice Rolling, Hex-and-Counter]"
1612,Fireteam Zero,(2015),1,4,3–4,"[90, 90]",14,2.62,"[Mike Langlois, Christian Leonhard]","[Loïc Muzy, Gary Simpson]","[dV Giochi, Edge Entertainment, Emergent Games (II), Heidelberger Spieleverlag, Meeple BR Jogos, Play & Win, Ulisses Spiele]","[Adventure, Fantasy, Fighting, Horror, Miniatures, World War II]","[Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Variable Player Powers]"
1613,The Pillars of the Earth: Builders Duel,(2009),2,2,2,"[45, 45]",10,2.18,[Stefan Feld],"[Michael Menzel, Anke Pohl, Thilo Rick]","[Filosofia Éditions, KOSMOS, Mayfair Games]","[Card Game, Economic, Medieval, Novel-based]","[Auction/Bidding, Card Drafting]"
1614,Piñata,(2013),2,2,2,"[30, 30]",13,1.50,[Stephen Glenn],"[Martin Hoffmann, Claus Stephan, Mirko Suzuki]",[Rio Grande Games],[Card Game],"[Hand Management, Set Collection]"
1615,Ottoman Sunset,(2010),1,1,1,"[30, 30]",13,1.97,[Darin A. Leviloff],[Tim Allen],[Victory Point Games],"[Wargame, World War I]","[Action Point Allowance System, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement]"
1616,Raid on St. Nazaire,(1987),1,1,1,"[180, 180]",12,2.99,"[Robert G. Markham, Mark Seaman]","[Charles Kibler, George I. Parrish, Jr.]",[Avalon Hill],"[Wargame, World War II]",[Point to Point Movement]
1617,Dimension,(2014),1,4,4,"[30, 30]",8,1.38,[Lauge Luchau],[],[Thames & Kosmos (KOSMOS)],"[Puzzle, Real-time]",[Pattern Building]
1618,Arimaa,(2002),2,2,2,"[60, 60]",10,3.58,"[Aamir Syed, Omar Syed]",[Karim Chakroun],"[(Self-Published), Z-Man Games]","[Abstract Strategy, Animals, Fighting, Racing]",[Grid Movement]
1619,Doppelkopf,(1895),3,6,4,"[120, 120]",7,2.86,[(Uncredited)],"[Christian Fiore, Klemens Franz]","[(Public Domain), (Unknown), AMIGO Spiel + Freizeit GmbH, ASS Altenburger Spielkarten, F.X. Schmid, Heraclio Fournier, King Cards, Lookout Games, Nürnberger-Spielkarten-Verlag, VEB (Volkseigener Betrieb) Spielkartenfabrik Altenburg]",[Card Game],"[Auction/Bidding, Partnerships, Trick-taking]"
1620,Epic Spell Wars of the Battle Wizards: Rumble at Castle Tentakill,(2015),2,6,3–4,"[30, 45]",15,1.61,[],"[Nick Edwards, Rob Heinsoo, Cory Jones]",[Cryptozoic Entertainment],"[Fantasy, Fighting, Humor]","[Dice Rolling, Hand Management, Take That]"
1621,Tesla vs. Edison: War of Currents,(2015),2,5,none,"[90, 90]",14,3.24,[Dirk Knemeyer],"[Heiko Günther, Jessica Riola]","[Artana, Giochix.it]","[Bluffing, Card Game, Economic, Educational, Industry / Manufacturing]","[Action Point Allowance System, Commodity Speculation, Hand Management, Route/Network Building, Stock Holding, Variable Player Powers]"
1622,Eminent Domain: Microcosm,(2014),2,2,2,"[15, 15]",13,1.90,[Seth Jaffee],[Ariel Seoane],"[(Web published), Tasty Minstrel Games]","[Card Game, Civilization, Print & Play, Science Fiction, Space Exploration]","[Card Drafting, Deck / Pool Building, Hand Management]"
1623,Unusual Suspects,(2015),3,18,4–5,"[10, 30]",13,1.20,[Paolo Mori],[Alessandro Costa],"[Cranio Creations, 999 Games, CMON Limited, Edge Entertainment, Galápagos Jogos, Heidelberger Spieleverlag, Lucrum Games]","[Card Game, Deduction, Murder/Mystery, Party Game]","[Co-operative Play, Partnerships]"
1624,Railways of the World: The Card Game,(2010),2,4,3,"[30, 60]",8,2.21,"[James Eastham, Steve Ellis (II)]","[Carey Grayson, David Oram]","[Eagle-Gryphon Games, Wargames Club Publishing]","[Card Game, Trains]","[Card Drafting, Pick-up and Deliver, Set Collection]"
1625,Lifeboat,(2002),4,6,6,"[60, 60]",13,1.69,[Jeff Siadek],[Stephen K. Ratter],"[Berserkr Jogos, Fat Messiah Games, Gen-X Games, Gorilla Games, Le Joueur, Magellan, Swan Panasia Co., Ltd.]","[Bluffing, Card Game, Humor, Nautical, Negotiation, Party Game, Travel]","[Hand Management, Partnerships, Player Elimination, Secret Unit Deployment, Set Collection, Trading, Variable Player Powers]"
1626,Mystery Rummy: Al Capone and the Chicago Underworld,(2003),2,4,none,"[20, 40]",8,1.58,"[Mike Fitzgerald, Nick Sauer]","[Christine Conrad, Caroly Van Duyn]","[Eagle-Gryphon Games, Pegasus Spiele, U.S. Games Systems, Inc.]","[Card Game, Mafia]",[Set Collection]
1627,Neuland,(2004),2,4,3,"[100, 100]",12,3.69,"[Peter Eggert, Tobias Stapelfeldt]","[Klemens Franz, Steffi Krage, Andreas Resch]","[eggertspiele, Z-Man Games]","[Civilization, Economic]","[Action Point Allowance System, Tile Placement, Time Track, Worker Placement]"
1628,Key to the City – London,(2016),2,6,none,"[90, 120]",14,2.60,"[Sebastian Bleasdale, Richard Breese]","[Katherine Baxter, Richard Breese, Konstantin Vohwinkel]","[R&D Games, Game Salute, Hutter Trade GmbH + Co KG, Quined Games]","[City Building, Economic, Territory Building]","[Auction/Bidding, Modular Board, Set Collection, Tile Placement, Worker Placement]"
1629,Tunisia,(1995),2,2,2,"[360, 360]",16,4.07,[Dean Essig],[Dean Essig],[The Gamers],"[Wargame, World War II]","[Dice Rolling, Hex-and-Counter, Simulation]"
1630,The Third World War,(1984),2,2,2+,"[360, 360]",12,3.46,[Frank Chadwick],"[Rich Banner, William H. Keith, Jr.]","[GDW Games, Hobby Japan]","[Modern Warfare, Wargame]","[Dice Rolling, Hex-and-Counter, Simulation]"
1631,Dynasties: Heirate & Herrsche,(2016),3,5,4,"[60, 90]",12,3.00,[Matthias Cramer],[Claus Stephan],"[Hans im Glück Verlags-GmbH, White Goblin Games, Z-Man Games]",[Renaissance],"[Area Control / Area Influence, Partnerships, Trading]"
1632,"Sun, Sea & Sand",(2010),2,5,4,"[60, 60]",10,2.63,[Corné van Moorsel],[Christof Tisch],[Cwali],"[Economic, Travel]","[Tile Placement, Time Track, Worker Placement]"
1633,Field Commander: Alexander,(2009),1,1,1,"[90, 90]",12,2.32,[Dan Verssen],[Wan Chiu],[Dan Verssen Games (DVG)],"[Ancient, Wargame]","[Area Movement, Dice Rolling]"
1634,En Garde,(1993),2,2,2,"[30, 30]",8,1.41,[Reiner Knizia],[Pierô],"[ABACUSSPIELE, Eagle-Gryphon Games, Ferti, New Games Order, LLC]","[Card Game, Sports]","[Hand Management, Point to Point Movement]"
1635,Funemployed!,(2014),3,20,5–6,"[30, 30]",13,1.18,[Anthony Conta],[],"[IronWall Games, Mattel, Urban Island Games, LLC]","[Card Game, Educational, Humor, Party Game, Word Game]","[Acting, Card Drafting, Role Playing, Storytelling]"
1636,Sea of Clouds,(2016),2,4,3–4,"[45, 45]",10,1.73,[Théo Rivière],[Miguel Coimbra],"[IELLO, uplay.it edizioni]","[Card Game, Pirates]","[Card Drafting, Press Your Luck, Set Collection]"
1637,Risk: Star Wars Original Trilogy Edition,(2006),2,5,3,"[120, 120]",10,2.12,"[Rob Daviau, Dan Sanfilippo]",[],"[Hasbro, Parker Brothers, Winning Moves France, Winning Moves Germany (Winning Moves Deutschland GmbH)]","[Movies / TV / Radio theme, Science Fiction, Wargame]","[Area Control / Area Influence, Area Movement, Dice Rolling, Secret Unit Deployment]"
1638,Nefarious,(2011),2,6,4,"[30, 45]",8,1.73,[Donald X. Vaccarino],"[Nick Acosta, Marty Elmer, Glenn Gustafson, Shaun Lindow, Tatiana Maifat]","[Ascora Games, Foxgames (Poland), Magellan, USAopoly]","[Card Game, Humor, Science Fiction]","[Hand Management, Simultaneous Action Selection]"
1639,Dominare,(2012),2,6,4,"[120, 120]",12,3.44,[jim pinto],"[Thomas Deeny, Andrew Hepworth, Jeff Himmelman]",[Alderac Entertainment Group (AEG)],"[Economic, Fantasy, Political, Renaissance, Territory Building]","[Action Point Allowance System, Area Control / Area Influence, Card Drafting, Hand Management]"
1640,Rivet Wars: Eastern Front,(2013),2,2,2,"[30, 30]",14,2.45,"[Bill Podurgiel, Ted Terranova]",[],"[Asmodee, CMON Limited, Edge Entertainment]","[Miniatures, Wargame]","[Dice Rolling, Grid Movement, Modular Board, Variable Player Powers]"
1641,Deep Space D-6,(2015),1,1,1,"[25, 30]",––,1.55,[Tony Go],"[Tony Go, Tim McBurnie]","[(Web published), Tau Leader Games]","[Print & Play, Science Fiction]","[Dice Rolling, Worker Placement]"
1642,Zooloretto: The Dice Game,(2012),2,4,2–3,"[15, 15]",7,1.25,[Michael Schacht],[Design/Main],"[999 Games, ABACUSSPIELE, Filosofia Éditions, Z-Man Games]","[Animals, Dice]","[Dice Rolling, Set Collection]"
1643,Navia Dratp,(2004),2,2,2,"[30, 30]",8,2.91,[Koichi Yamazaki],[Koichi Yamazaki],[Bandai (バンダイ)],"[Abstract Strategy, Collectible Components, Fantasy]",[Grid Movement]
1644,Darjeeling,(2007),2,5,4,"[60, 60]",12,2.22,[Günter Burkhardt],[Christof Tisch],"[ABACUSSPIELE, Corfix, Rio Grande Games]","[Economic, Farming]","[Commodity Speculation, Grid Movement, Modular Board, Set Collection]"
1645,Escape Room: The Game,(2016),3,5,4,"[60, 60]",16,2.33,[],[Roland MacDonald],"[Diset S. A., Identity Games International B.V., Noris Spiele, Spin Master Ltd.]","[Electronic, Puzzle, Real-time]",[Co-operative Play]
1646,Intrigue,(1994),3,5,5,"[45, 45]",12,1.96,[Stefan Dorra],"[Eckhard Freytag, Clément Masson, Ian Parovel, Renate Seelig, Markus Wagner]","[AMIGO Spiel + Freizeit GmbH, F.X. Schmid, Igiari, Mayfair Games]","[Negotiation, Renaissance]","[Area Control / Area Influence, Auction/Bidding]"
