Title,Avg Rating,Num Ratings
18345,6.86,3948
19973,6.87,4370
4384,6.93,3618
5513,6.91,4573
1728,7.35,1681
1475,7.05,2136
20173,7.4,1295
3296,7.52,1116
11558,7.09,1937
6712,7.51,1241
6155,6.75,6688
8918,6.95,2709
10070,7.01,2327
16754,7.33,1359
13218,7.13,1968
6386,7.54,1206
16306,7.03,2235
17852,7.37,1295
20233,7.15,1886
1523,7.47,1181
16242,6.86,3786
875,6.94,2852
19807,6.78,5356
13590,7.4,1333
17937,7.02,2313
11997,6.94,2663
7449,7.54,1132
1632,6.9,2930
18900,6.69,14862
14138,7.12,1829
8987,7.14,1730
16030,7.08,2163
3470,6.71,10020
20195,6.87,3533
18996,7.07,2145
11110,7.04,2070
125,7.49,1049
9773,7.0,2439
1305,7.03,2246
2245,6.88,3267
13482,7.05,2032
15587,7.42,1232
19708,7.93,767
1686,7.49,1070
9385,7.37,1257
12402,7.01,2182
6526,6.86,3174
4263,6.74,6253
3045,6.98,2633
14351,6.82,4025
13469,6.88,2960
19085,6.76,5338
19727,6.88,3433
14467,6.87,3553
9787,7.0,2600
16230,6.82,4362
16500,7.51,1017
15807,6.75,5854
17292,7.67,944
15999,7.62,1558
737,7.1,1939
7921,7.02,2160
4704,6.88,2961
2591,6.75,5001
3408,6.71,6500
12028,7.25,1554
2521,6.83,3411
7665,7.01,2085
1731,7.55,1206
18001,7.26,1309
8526,6.77,4325
14373,6.85,3529
8545,7.03,1936
17555,7.74,866
20335,6.94,2337
9765,7.39,1120
14563,6.64,16210
17719,6.9,2795
12376,6.94,2479
16764,7.3,1315
2997,6.66,8700
2134,6.96,2822
247,6.94,2457
3393,6.86,3046
10423,7.77,799
10898,6.73,5986
5747,7.6,977
2990,6.82,3552
18435,6.75,4969
2529,6.94,2436
11783,7.28,1248
15645,6.93,2402
9342,7.66,882
5108,6.73,4976
434,7.67,864
16094,6.97,2662
600,6.9,2557
10090,8.0,683
18238,7.49,983
1361,6.98,2149
20155,7.5,1153
13662,6.82,3713
7637,6.78,3764
18242,7.94,667
2810,7.66,868
8218,6.9,2487
13335,6.7,6889
1891,6.71,5101
11020,7.41,1051
7150,7.47,1049
13848,7.62,838
4438,7.21,1398
9106,7.47,1008
6224,7.53,1061
