Title,Geek Rating,Avg Rating,Num Ratings
15782,7.444,7.55,28115
17632,7.442,7.65,14556
17833,7.44,7.6,13047
740,7.437,7.7,6681
9914,7.434,7.82,4616
10634,7.432,7.83,5901
8144,7.426,7.64,8214
9157,7.419,7.54,17529
19387,7.418,7.57,13345
7760,7.418,7.68,11359
18318,7.417,7.67,7852
18273,7.414,7.61,10436
8886,7.41,7.6,11657
20462,7.409,7.99,4134
10120,7.395,7.64,12058
8137,7.392,7.82,4276
11044,7.391,7.53,19104
18282,7.391,7.49,47350
16565,7.386,7.63,8550
10200,7.383,7.6,8482
15219,7.382,7.58,10321
714,7.378,7.59,8810
8881,7.376,7.63,7152
5818,7.376,7.59,8426
7454,7.373,7.47,20261
15630,7.371,7.54,11671
2092,7.366,7.94,3374
14512,7.364,7.7,6358
4686,7.355,7.54,11832
13782,7.354,7.47,15216
20248,7.344,7.68,5225
11848,7.343,7.54,11063
2722,7.343,7.61,6352
7743,7.339,7.5,10780
935,7.336,7.5,11200
3201,7.335,7.44,65766
16971,7.333,7.63,5815
8325,7.331,7.93,2887
17895,7.33,7.44,24986
541,7.327,7.7,4978
14890,7.324,7.47,13629
5352,7.324,7.54,9640
15258,7.318,7.51,11208
12017,7.313,7.59,5994
806,7.312,7.51,8895
173,7.308,7.56,6905
14935,7.305,8.07,2187
105,7.305,7.81,3318
8883,7.303,7.74,3911
9101,7.3,7.54,7641
5188,7.299,7.67,4474
3178,7.297,7.86,3239
10662,7.294,7.43,22524
3984,7.287,7.61,5512
13440,7.287,8.16,1929
14622,7.283,7.44,11906
15421,7.281,7.36,42293
7891,7.28,7.77,3488
5810,7.28,7.46,10624
2058,7.279,8.12,2105
2550,7.278,7.87,2974
2009,7.273,7.42,12077
9642,7.273,8.96,1838
5335,7.27,7.36,30353
10188,7.266,7.49,8741
3962,7.264,7.71,3858
7389,7.263,7.72,3943
11156,7.262,7.48,10528
16076,7.26,8.02,2572
2857,7.255,7.5,6886
7643,7.252,7.39,13897
11097,7.249,7.45,9452
6261,7.248,7.46,7965
633,7.248,7.92,2909
11269,7.244,7.68,3822
10477,7.241,7.32,34811
14182,7.239,7.59,5360
17725,7.239,7.49,6567
15669,7.232,7.57,5810
8574,7.231,7.34,19679
20237,7.231,7.82,3130
12274,7.229,7.4,9832
16857,7.228,7.35,19199
5764,7.225,7.61,4526
12061,7.225,7.45,9557
3943,7.224,7.53,6136
7699,7.223,7.5,5662
8922,7.222,7.42,8154
9595,7.222,7.31,35390
4101,7.221,7.63,4047
580,7.219,7.36,15041
15164,7.217,7.36,14311
14303,7.209,7.58,4345
18368,7.205,7.34,13503
9388,7.196,7.8,2686
14586,7.196,7.34,12312
12449,7.192,7.38,10712
14648,7.192,7.3,18565
1403,7.192,7.36,29686
348,7.192,7.45,6170
17007,7.191,7.44,6530
16718,7.189,7.77,2959
16698,7.185,7.33,13349
3955,7.184,8.06,2080
18763,7.183,7.87,2357
8952,7.182,7.76,2565
17814,7.18,7.32,12972
10561,7.177,7.44,5742
5970,7.175,7.78,2841
10836,7.171,7.98,1902
2089,7.17,7.41,8593
4953,7.169,7.59,3950
1242,7.166,7.83,2199
10796,7.165,7.4,10427
1606,7.163,7.39,7027
9952,7.161,7.49,4706
10391,7.159,7.52,4482
14236,7.159,7.76,2464
14955,7.158,7.36,10807
2541,7.157,7.57,4449
7310,7.155,7.34,8650
81,7.154,7.84,2290
7133,7.153,7.29,14214
4928,7.149,8.17,1758
10332,7.148,7.42,5455
11294,7.148,7.3,11376
6932,7.147,7.29,13428
13623,7.146,7.5,4730
7703,7.146,7.36,7008
1071,7.146,7.37,7148
5044,7.143,7.35,10233
4626,7.136,8.04,2015
8115,7.136,7.22,23067
3656,7.134,7.68,2959
12719,7.132,7.42,5476
3524,7.131,7.27,66420
15425,7.125,7.38,6924
9676,7.123,7.24,15008
18240,7.123,7.52,4032
8464,7.12,7.41,6886
376,7.117,7.94,2129
19414,7.116,7.54,3552
12209,7.115,7.84,2041
6036,7.115,7.46,4298
7108,7.114,7.22,15247
18416,7.112,7.79,2131
1041,7.111,7.51,3788
9006,7.111,7.26,10719
8107,7.108,7.57,3376
2862,7.107,7.65,2771
1346,7.098,7.42,4976
4220,7.096,7.97,1771
16830,7.095,7.34,6183
12463,7.094,7.66,2877
20416,7.094,7.33,10705
858,7.092,7.38,5307
10210,7.092,7.28,8644
10143,7.091,7.33,7462
4161,7.089,7.25,11245
6823,7.086,7.41,6694
2376,7.086,7.25,9580
15714,7.085,7.48,4553
15106,7.083,8.05,2003
5091,7.081,7.41,4542
361,7.079,7.3,9294
16879,7.078,7.29,8446
15829,7.076,7.23,9813
19372,7.075,7.3,6733
18460,7.075,7.38,5450
16465,7.074,7.52,3390
1690,7.073,7.37,4695
19518,7.073,7.53,3279
6174,7.072,7.38,4848
17504,7.065,7.36,5301
3893,7.063,7.15,37094
6370,7.059,7.35,5569
15941,7.059,7.98,1625
10036,7.059,7.27,6632
10430,7.059,7.15,26293
3402,7.058,7.31,5671
17892,7.058,7.55,3339
6409,7.057,7.3,6709
7296,7.057,7.65,2403
7328,7.056,7.25,8554
12764,7.055,7.4,4292
14650,7.052,7.67,2320
7675,7.051,7.43,3672
7267,7.051,7.51,3110
14265,7.05,7.16,19196
8981,7.048,7.18,12802
12129,7.048,7.26,7524
13184,7.047,7.25,7502
19648,7.047,7.65,2826
15111,7.046,7.16,19959
15459,7.044,7.39,4918
8991,7.044,7.85,2031
7543,7.041,7.5,3727
10603,7.04,7.67,2294
2932,7.04,7.66,2397
5369,7.04,7.5,3340
2291,7.04,7.34,4903
12705,7.039,8.27,1257
1301,7.037,7.39,4051
19191,7.036,7.84,1860
16219,7.034,7.34,6004
16720,7.033,7.15,16708
553,7.032,7.34,5120
4974,7.032,7.39,4491
11964,7.03,7.98,1508
177,7.028,7.91,1597
1571,7.023,7.66,2780
18655,7.022,7.27,5766
16833,7.022,7.4,3816
18264,7.02,7.13,15035
16329,7.02,7.66,2367
4428,7.019,7.13,19992
4763,7.019,7.43,3558
15528,7.018,7.47,3143
4603,7.017,7.72,2168
16529,7.014,7.34,4944
17349,7.009,7.58,2598
10885,7.009,7.35,4659
15731,7.007,7.45,3292
16088,7.003,8.23,1422
9589,7.003,7.2,8210
4191,7.002,8.1,1243
16790,7.002,7.67,2056
3774,6.999,7.23,5845
16040,6.999,7.58,2703
18408,6.998,7.36,3876
6808,6.997,8.1,1316
12452,6.992,7.59,2429
18133,6.991,7.19,7540
10512,6.991,7.41,3188
10402,6.988,7.32,4276
7387,6.987,7.2,8153
637,6.985,7.77,1932
12879,6.985,7.72,1882
2652,6.984,7.07,28016
16131,6.984,7.38,4194
13631,6.982,7.35,4122
14914,6.98,7.6,2898
20434,6.979,7.57,2739
250,6.977,7.95,1489
4157,6.976,7.19,6781
3811,6.975,7.23,5746
16550,6.974,7.67,2023
3245,6.973,7.15,9554
16570,6.972,7.62,2172
19307,6.97,7.22,5414
1054,6.97,7.24,5034
3099,6.968,7.11,11545
2324,6.965,7.14,21051
1958,6.965,7.73,1800
11178,6.964,7.41,3380
6337,6.964,7.11,11233
4645,6.963,7.18,6922
19747,6.963,7.68,1891
15108,6.963,8.13,1382
11844,6.962,7.34,3673
17183,6.961,8.0,1364
18507,6.961,7.13,8152
11209,6.959,8.07,1375
10891,6.958,7.44,3021
18601,6.957,7.17,6929
11587,6.956,7.09,11661
905,6.955,7.05,20977
15664,6.954,7.46,3164
721,6.952,7.47,2572
6182,6.949,7.14,7297
1320,6.949,7.37,3364
19291,6.948,7.32,3693
18452,6.946,7.33,3434
12231,6.945,7.04,14236
19664,6.944,7.28,4997
16922,6.942,7.18,5967
20286,6.942,7.51,2502
15210,6.939,7.39,2888
9165,6.939,7.1,10029
5294,6.938,7.19,6787
16288,6.936,7.45,2747
19427,6.935,8.09,1171
20339,6.934,7.13,6987
20391,6.934,7.68,1793
3741,6.932,7.09,19860
9415,6.931,7.36,3174
5913,6.929,7.35,4051
7335,6.928,7.56,2177
10482,6.925,7.4,3168
14775,6.923,7.29,3575
7158,6.922,7.06,11910
19167,6.92,7.25,3919
20135,6.917,7.3,3607
9335,6.917,7.14,6333
12716,6.916,7.6,2251
9629,6.914,7.04,12838
18215,6.913,7.05,10511
15839,6.912,7.47,2653
18753,6.912,7.26,3900
20216,6.911,7.22,4770
15657,6.911,7.59,2003
8468,6.911,7.63,1989
15470,6.911,7.46,2644
17338,6.91,7.14,5887
8874,6.91,7.34,3194
12695,6.91,7.44,2439
8635,6.908,7.32,3033
10999,6.906,7.15,5616
18529,6.905,7.08,9936
2854,6.904,7.3,3300
13907,6.899,7.54,2097
16978,6.899,7.26,3827
3005,6.898,7.1,6831
2827,6.897,7.47,2555
15131,6.896,7.53,2093
15837,6.894,7.17,4551
13991,6.893,7.17,4583
1388,6.891,7.82,1419
7586,6.891,7.15,5431
4270,6.89,8.13,1094
13359,6.889,7.8,1460
6091,6.88,7.02,14897
1799,6.878,7.03,10062
13835,6.877,7.87,1386
9172,6.877,7.06,7250
10712,6.875,7.17,4451
18249,6.873,7.4,2408
10829,6.873,7.8,1480
19798,6.872,7.31,3035
13397,6.87,7.15,4884
4349,6.869,7.26,3253
14588,6.869,7.66,1582
4139,6.868,6.98,13606
7001,6.867,7.22,3656
2821,6.867,7.67,1574
16456,6.866,7.28,3101
18646,6.865,7.39,2549
4069,6.864,7.32,2884
16531,6.864,8.36,891
10104,6.864,7.29,2983
3260,6.863,7.21,3775
2593,6.862,7.06,6700
1542,6.862,7.37,2746
6414,6.861,8.04,1195
17500,6.861,7.72,1441
14653,6.861,7.19,3785
1518,6.859,7.05,8600
16154,6.858,7.55,1861
3258,6.856,7.09,6383
14669,6.856,7.15,4292
10474,6.856,7.12,4964
8228,6.853,7.23,3310
5264,6.852,7.07,9761
5915,6.85,7.22,4415
4723,6.85,8.22,950
20016,6.849,6.99,9835
18234,6.848,7.01,8909
10418,6.846,7.29,2798
2329,6.845,7.13,4537
18223,6.844,7.43,2136
10028,6.844,7.03,11921
2841,6.844,7.23,3565
2514,6.842,6.95,16645
11874,6.839,7.36,2575
4648,6.835,7.8,1279
8758,6.834,7.34,2651
12461,6.833,7.36,2536
1530,6.833,7.35,2642
4243,6.831,8.12,1373
12051,6.83,7.47,2099
1233,6.828,7.14,4280
6776,6.827,7.06,5538
6233,6.825,8.11,951
2187,6.821,7.39,2350
17803,6.817,7.26,2719
18332,6.817,7.26,3427
9976,6.814,7.07,4792
15359,6.814,7.06,5270
13979,6.814,7.03,6113
17731,6.811,8.04,1054
3012,6.81,7.14,3831
15468,6.81,7.51,1881
2081,6.808,7.86,1219
4247,6.807,6.99,7680
1653,6.807,7.03,5917
11094,6.807,7.24,2839
5684,6.807,7.07,4401
19933,6.806,7.73,1365
8337,6.805,7.94,1221
13517,6.803,7.47,1769
16928,6.802,7.29,2509
18792,6.802,8.39,796
15464,6.8,7.48,1896
19418,6.8,8.51,693
13419,6.798,7.24,2927
14803,6.797,7.23,2774
11599,6.797,7.33,2319
11144,6.795,7.17,3290
14322,6.792,6.92,9899
19408,6.792,7.13,3699
416,6.791,7.27,2496
16627,6.791,7.6,1453
14476,6.787,7.61,1670
10114,6.787,7.71,1355
17990,6.787,7.08,4020
10207,6.786,6.93,9247
5290,6.786,7.23,2584
8564,6.783,7.13,3951
11537,6.78,7.08,4315
4547,6.78,7.01,6028
19009,6.779,8.0,1022
7138,6.779,6.86,26146
15095,6.779,7.32,2341
19608,6.779,7.49,1976
14112,6.777,7.0,6206
19996,6.777,7.96,1012
4327,6.776,7.11,3548
14082,6.776,7.16,3178
20032,6.774,7.13,3666
13068,6.769,7.39,1867
3859,6.766,7.77,1220
1997,6.766,7.16,3188
260,6.765,6.89,11375
11595,6.763,7.01,5007
10193,6.762,7.6,1427
15521,6.761,7.0,4785
18914,6.759,7.16,2876
Agricola (revised edition),6.759,8.42,768
12206,6.758,7.28,2270
15457,6.757,6.9,15515
20535,6.754,6.88,11563
19287,6.753,7.3,2088
90,6.749,7.41,1742
17080,6.749,6.97,5646
3802,6.749,7.04,3947
5905,6.748,6.99,6810
8373,6.747,7.02,8106
10788,6.745,7.02,4487
19125,6.744,7.17,2988
10718,6.74,7.03,4940
17299,6.74,8.02,924
3516,6.739,7.18,2730
9970,6.736,7.07,3984
8201,6.736,7.69,1473
11138,6.736,7.04,3567
20436,6.736,7.77,1267
17917,6.736,7.09,3596
5421,6.734,7.04,3845
6630,6.732,7.1,3061
13281,6.732,7.27,2147
17271,6.73,7.28,2142
15666,6.727,8.07,972
10793,6.725,7.3,2005
3123,6.721,6.86,8973
19256,6.719,7.18,2472
17013,6.719,7.86,997
6513,6.718,7.24,2277
3622,6.717,6.98,4387
9488,6.717,7.1,2789
6048,6.716,7.12,2824
12909,6.714,7.19,2257
20298,6.714,7.09,3062
10357,6.713,6.9,6548
13512,6.711,6.98,4221
20010,6.708,7.05,3293
19636,6.705,7.41,1971
374,6.703,6.97,5209
8928,6.703,6.86,7629
15280,6.701,7.57,1276
8080,6.7,7.04,3225
2456,6.699,7.11,2819
8101,6.699,7.08,2779
16276,6.698,7.0,3955
11092,6.697,7.17,2406
14089,6.696,7.06,3142
12227,6.696,7.82,1013
8495,6.695,6.78,15098
1014,6.695,7.37,1796
5984,6.694,7.47,1362
19347,6.693,7.04,3257
13451,6.692,6.91,5199
13746,6.691,6.82,10142
1089,6.689,7.58,1249
6969,6.689,7.0,3457
16391,6.688,7.2,2077
17790,6.688,7.81,1233
8013,6.688,7.04,3159
13641,6.687,6.82,11286
17209,6.683,7.21,2216
5110,6.682,7.03,3199
9260,6.682,7.8,1016
8071,6.682,6.97,3706
18085,6.681,6.88,6970
8828,6.681,7.01,4253
639,6.68,7.88,939
7125,6.678,7.67,1136
9651,6.678,7.44,1473
19989,6.678,6.96,4093
14473,6.677,6.9,7073
10349,6.675,7.13,2440
8140,6.675,6.91,4542
3629,6.674,7.14,2464
869,6.674,7.39,1520
17765,6.672,7.64,1147
4965,6.672,7.16,2304
9198,6.671,7.03,2959
16874,6.669,7.21,2045
20314,6.666,7.15,2554
1398,6.665,6.95,3727
17783,6.665,7.49,1294
13658,6.665,7.52,1350
10564,6.665,6.77,14912
14198,6.664,7.24,1909
8405,6.663,7.67,1200
10377,6.662,6.79,11743
20014,6.662,7.39,1466
10275,6.662,7.1,2454
11017,6.661,7.08,2555
6848,6.66,7.3,1637
18663,6.66,7.64,1073
20375,6.66,7.29,1733
18232,6.659,8.18,766
9920,6.658,6.99,3240
20038,6.658,6.89,5278
11267,6.656,6.94,3628
13886,6.654,7.26,1899
13756,6.652,6.92,4175
7230,6.651,7.11,2649
15078,6.65,6.85,6179
6219,6.65,7.93,896
2618,6.649,6.94,3794
339,6.648,8.03,795
641,6.645,7.99,814
6856,6.644,7.7,1002
1191,6.644,6.89,4386
12114,6.642,7.02,2989
7833,6.641,7.51,1178
5136,6.641,6.85,5096
431,6.641,6.99,3839
6537,6.64,6.79,7098
1478,6.64,7.2,1863
3527,6.639,6.77,11041
8514,6.638,7.45,1347
12769,6.637,6.93,3635
672,6.635,8.14,836
7414,6.634,7.11,2272
14093,6.633,6.99,2899
19520,6.632,7.7,963
6404,6.632,6.9,4120
12827,6.631,7.36,1490
11337,6.631,7.81,899
12270,6.629,7.2,1798
18629,6.628,7.09,2273
4729,6.627,6.99,3896
4830,6.627,7.16,1992
6794,6.627,7.03,2566
4153,6.626,6.8,6270
3254,6.625,7.19,1904
5519,6.625,7.41,1626
5413,6.625,7.57,1127
4898,6.622,7.31,1520
17758,6.621,7.47,1323
17463,6.62,7.38,1381
17221,6.619,7.01,2749
617,6.619,7.37,1415
4750,6.617,7.62,1042
2525,6.616,6.88,4137
69,6.615,7.75,904
5843,6.615,6.85,5199
4080,6.614,7.14,2124
13926,6.613,6.84,4749
3991,6.611,6.81,5550
11141,6.609,6.95,2980
5805,6.609,6.91,3800
11841,6.608,6.89,3566
1074,6.606,6.99,2623
14671,6.606,6.94,3179
18482,6.604,6.96,3541
3926,6.604,7.36,1371
14696,6.604,6.85,4346
19343,6.603,7.28,1514
19248,6.602,7.55,1148
1673,6.601,6.79,5606
11009,6.6,7.1,2059
18345,6.599,6.86,3918
1694,6.599,7.46,1187
11860,6.599,6.98,2869
19973,6.597,6.87,4367
1435,6.597,7.89,771
19737,6.596,7.35,1321
1728,6.595,7.35,1677
5513,6.594,6.91,4574
1475,6.594,7.05,2133
3296,6.591,7.52,1111
6712,6.59,7.51,1232
6155,6.589,6.75,6675
8918,6.588,6.95,2710
11558,6.586,7.09,1925
13218,6.586,7.13,1957
10070,6.586,7.01,2315
20173,6.586,7.41,1262
6386,6.585,7.54,1204
1523,6.585,7.47,1179
16754,6.585,7.33,1357
20233,6.584,7.15,1871
16306,6.584,7.02,2232
875,6.582,6.94,2851
16242,6.582,6.86,3779
13590,6.58,7.4,1329
17937,6.58,7.02,2312
19807,6.579,6.78,5289
7449,6.579,7.54,1127
11997,6.579,6.94,2654
1632,6.578,6.91,2924
18900,6.577,6.68,14794
14138,6.576,7.12,1827
17852,6.576,7.37,1269
8987,6.575,7.15,1724
16030,6.574,7.08,2154
15587,6.573,7.44,1223
3470,6.573,6.71,9978
11110,6.572,7.04,2067
20195,6.572,6.87,3528
9773,6.57,7.0,2433
125,6.57,7.49,1047
1305,6.569,7.03,2246
13482,6.569,7.05,2030
2245,6.569,6.88,3259
18996,6.569,7.07,2134
19708,6.568,7.94,767
12402,6.567,7.01,2180
1686,6.564,7.49,1062
6526,6.563,6.87,3171
4263,6.562,6.74,6245
14351,6.56,6.82,4024
3045,6.56,6.98,2626
13469,6.56,6.89,2957
19727,6.56,6.88,3431
19085,6.559,6.76,5326
9787,6.555,7.0,2590
14467,6.554,6.86,3540
16230,6.551,6.82,4356
737,6.55,7.1,1935
15807,6.55,6.75,5812
4704,6.55,6.88,2954
16500,6.55,7.51,1016
17292,6.549,7.67,943
2591,6.549,6.75,4997
7665,6.548,7.01,2078
7921,6.548,7.02,2142
12028,6.548,7.26,1551
3408,6.548,6.71,6485
2521,6.547,6.83,3410
15999,6.546,7.62,1552
8526,6.546,6.77,4317
9385,6.543,7.37,1193
14373,6.543,6.85,3518
18001,6.543,7.25,1302
1731,6.542,7.55,1202
20335,6.542,6.95,2336
8545,6.542,7.02,1933
17719,6.542,6.9,2784
17555,6.542,7.74,864
14563,6.542,6.64,16142
16764,6.54,7.31,1299
2997,6.54,6.66,8692
2134,6.539,6.96,2818
247,6.539,6.94,2454
10898,6.538,6.73,5959
18435,6.537,6.75,4955
3393,6.537,6.86,3045
9765,6.537,7.39,1108
2990,6.537,6.82,3523
12376,6.535,6.94,2431
5747,6.535,7.59,976
2529,6.534,6.94,2431
15645,6.532,6.93,2397
16094,6.532,6.97,2658
11783,6.531,7.28,1238
434,6.53,7.67,863
5108,6.53,6.73,4956
600,6.527,6.9,2556
9342,6.525,7.66,865
1361,6.524,6.98,2141
20155,6.523,7.5,1153
10423,6.522,7.77,779
13662,6.522,6.82,3696
10090,6.521,8.01,669
18238,6.521,7.48,974
8218,6.52,6.9,2484
2810,6.52,7.66,868
1891,6.519,6.71,5089
13335,6.519,6.7,6881
18242,6.517,7.94,663
11020,6.515,7.4,1047
7974,6.515,7.18,1386
6224,6.514,7.53,1060
2000,6.514,7.64,876
4438,6.514,7.22,1385
16290,6.514,7.03,1751
404,6.513,7.1,1691
8305,6.513,7.06,1647
7150,6.511,7.47,1035
18231,6.51,7.75,890
10659,6.509,7.14,1697
8033,6.508,6.87,2571
11024,6.507,8.4,530
5123,6.507,6.93,2240
17615,6.506,6.93,2284
18936,6.506,6.81,3107
18641,6.506,6.9,2295
19658,6.506,7.3,1369
8775,6.505,6.83,3036
18677,6.504,6.66,6702
5112,6.504,7.08,1559
17145,6.503,7.23,1301
19523,6.503,7.02,1741
12428,6.502,6.92,2142
8684,6.502,7.23,1349
12954,6.502,6.96,1965
9106,6.502,7.47,980
11177,6.501,7.2,1531
10167,6.5,6.8,3218
13848,6.498,7.64,796
19275,6.498,7.07,1948
6644,6.497,6.66,6114
8554,6.497,7.06,1680
10434,6.495,6.84,2717
18433,6.493,6.85,2713
9302,6.493,6.77,4401
12409,6.492,7.4,1004
6209,6.49,6.92,2469
9299,6.49,7.62,814
4416,6.49,7.15,1441
18151,6.489,7.22,1310
2536,6.488,8.48,519
12364,6.487,6.96,2222
3519,6.487,7.84,684
5846,6.487,7.38,1052
9353,6.487,6.66,5922
8068,6.487,7.06,1563
15406,6.485,6.89,2176
6044,6.485,6.67,4990
14364,6.484,7.54,875
2390,6.482,6.9,2157
12034,6.482,7.01,1707
1236,6.479,7.22,1220
6406,6.479,7.0,1764
12459,6.478,6.74,3733
17844,6.477,7.5,856
6557,6.477,8.17,550
117,6.477,8.06,547
18465,6.477,6.72,4405
19785,6.475,7.33,1057
12535,6.474,6.79,2844
15474,6.474,6.88,2443
14415,6.474,7.28,1143
17412,6.473,6.77,3243
4743,6.473,7.37,1117
10884,6.473,7.59,830
20242,6.471,7.17,1464
3440,6.469,7.14,1397
1091,6.468,6.76,3297
14632,6.468,6.84,2546
1534,6.466,7.26,1194
7240,6.464,7.02,1519
4778,6.464,7.41,1001
14073,6.464,6.75,3430
15235,6.464,7.07,1459
16612,6.463,6.98,2135
18431,6.463,6.87,2313
1340,6.463,7.33,1048
6515,6.463,7.26,1092
185,6.463,6.98,1724
4916,6.462,7.28,1225
11970,6.461,7.32,1064
12957,6.46,6.95,1757
18411,6.459,7.52,811
6024,6.459,7.16,1240
13192,6.457,6.98,1682
16300,6.457,6.87,2075
6921,6.455,7.67,794
1079,6.455,8.51,493
4909,6.454,6.88,2292
11836,6.454,7.15,1243
1382,6.452,6.96,1716
11528,6.451,7.22,1356
10784,6.45,6.69,3659
14409,6.45,6.91,1869
13565,6.449,6.88,2026
Race! Formula 90,6.448,8.04,595
17927,6.446,6.82,2330
15414,6.444,6.91,1846
19732,6.443,7.4,891
5711,6.443,7.02,1499
1738,6.442,7.43,1106
9907,6.44,7.03,1444
19257,6.44,7.5,816
10215,6.44,8.1,550
1777,6.44,6.56,19398
8926,6.439,7.09,1284
13734,6.438,6.7,4196
334,6.438,6.77,2643
6449,6.438,7.26,1099
17931,6.438,7.23,1189
13132,6.437,6.6,7136
8023,6.437,6.54,15151
8683,6.437,7.11,1370
1721,6.436,6.73,5220
14169,6.435,6.71,5680
10108,6.435,7.11,1456
6389,6.435,7.06,1548
17837,6.435,7.0,1480
17862,6.434,6.91,2068
19987,6.432,6.98,1683
19293,6.431,7.52,884
9289,6.429,6.59,7783
13770,6.428,7.96,587
10031,6.426,7.7,728
1827,6.426,6.71,3177
1468,6.426,6.95,1645
14013,6.425,6.92,2124
20081,6.423,6.98,1677
15039,6.423,6.89,2088
8125,6.422,7.69,679
5910,6.422,7.53,893
18430,6.421,6.82,2228
10827,6.421,6.75,2860
418,6.42,7.12,1211
776,6.419,7.09,1262
8673,6.417,7.96,601
19965,6.417,7.15,1260
12010,6.416,7.98,549
12351,6.415,6.68,3307
9653,6.413,6.63,3948
12264,6.412,7.29,1093
1706,6.412,6.64,3804
16595,6.411,7.06,1347
2688,6.411,7.4,847
8333,6.41,6.92,1638
7037,6.41,7.51,748
19968,6.408,7.27,1003
8460,6.408,6.98,1646
19788,6.407,6.94,1594
8949,6.407,6.87,1857
4878,6.406,7.97,549
4119,6.406,6.67,3363
8165,6.405,6.66,3558
17232,6.405,6.92,1598
19136,6.405,6.87,1837
19815,6.405,6.66,3766
9376,6.404,7.0,1396
13399,6.404,7.28,910
9735,6.402,7.03,1450
6896,6.402,6.72,2666
6757,6.402,7.6,719
15218,6.401,7.27,1107
15642,6.401,6.72,2687
15648,6.401,6.91,2056
4314,6.401,6.77,2724
17115,6.401,6.62,4107
14438,6.4,7.29,999
12824,6.399,6.88,1745
1337,6.398,6.71,2753
1615,6.397,6.9,1671
10698,6.397,7.06,1263
14791,6.397,6.51,10194
17235,6.396,6.74,2368
11869,6.395,6.55,6721
12134,6.395,6.54,6568
19585,6.394,7.82,666
8903,6.394,7.0,1371
2711,6.393,6.7,2900
14578,6.392,6.82,1916
15998,6.392,7.85,679
194,6.392,6.93,1466
2334,6.39,6.77,2316
13049,6.389,6.54,6363
1038,6.389,7.51,689
1528,6.389,7.7,653
17155,6.388,6.97,1385
16045,6.388,8.03,543
6465,6.388,7.1,1151
6682,6.388,6.6,4043
137,6.387,7.43,799
6635,6.387,6.93,1509
14928,6.386,6.96,1413
4674,6.386,6.62,4011
12097,6.386,7.17,1038
13788,6.386,6.75,2160
4623,6.385,6.97,1494
7380,6.385,7.57,712
14077,6.385,7.36,839
6086,6.384,6.67,2934
4236,6.384,6.87,1707
1845,6.382,6.53,8845
4346,6.381,6.82,1807
12875,6.381,7.7,635
2238,6.381,7.63,715
8978,6.381,8.09,517
19086,6.381,7.18,1021
16457,6.38,7.85,568
19244,6.379,6.86,1695
10083,6.379,6.84,1723
4599,6.377,7.18,1020
18475,6.377,7.04,1422
14098,6.375,7.47,747
17516,6.375,6.78,1957
7861,6.374,6.81,1905
6018,6.373,6.94,1409
6330,6.372,6.91,1576
12398,6.372,6.69,2562
3958,6.371,6.56,4334
18439,6.371,6.84,1794
