,user,board_game,rating
91,0,8928,6.0
92,0,9101,7.0
93,0,9116,5.0
94,0,9122,5.0
95,0,9157,7.0
96,0,9165,6.0
97,0,9409,4.0
98,0,9451,8.5
99,0,9474,8.95
100,0,9595,4.0
101,0,9629,5.0
102,0,9634,6.0
103,0,9914,7.0
104,0,9920,6.0
105,0,9952,5.0
106,0,10200,7.0
107,0,10307,6.0
108,0,10402,6.0
109,0,10410,6.0
110,0,10418,7.0
111,0,10477,6.0
112,0,10603,9.75
113,0,10820,6.0
114,0,10898,6.0
115,0,11269,7.0
116,0,12050,6.0
117,0,12231,7.0
118,0,12348,7.0
119,0,12449,6.0
120,0,12452,6.0
121,0,12551,5.0
122,0,12555,5.0
123,0,12764,7.0
124,0,12830,8.55
125,0,13171,6.0
126,0,13440,8.85
127,0,13795,7.0
128,0,13798,7.0
129,0,13800,7.0
130,0,13802,7.0
131,0,13804,7.0
132,0,13979,7.0
133,0,14142,6.0
134,0,14214,6.0
135,0,14281,5.0
136,0,14303,8.4
137,0,14322,6.0
138,0,14332,6.0
139,0,14334,6.0
140,0,14671,6.0
141,0,14803,7.0
142,0,14862,6.0
143,0,14890,6.0
144,0,15164,6.0
145,0,15175,7.0
146,0,15630,6.0
147,0,15782,6.0
148,0,15829,7.0
149,0,15837,9.25
150,0,16101,8.0
151,0,16339,6.0
152,0,16486,6.0
153,0,16720,5.0
154,0,16857,4.0
155,0,16978,6.0
156,0,17007,7.0
157,0,17029,5.0
158,0,17052,7.0
159,0,17060,7.0
160,0,17080,6.0
161,0,17084,6.0
162,0,17261,7.0
163,0,17480,6.0
164,0,17504,7.0
165,0,17725,7.0
166,0,17901,6.0
167,0,18068,6.0
168,0,18136,6.0
169,0,18318,7.0
170,0,18363,8.8
171,0,18465,5.0
172,0,18601,7.0
173,0,18629,7.0
174,0,18666,5.0
175,0,18722,7.0
176,0,18763,9.5
177,0,18876,8.35
178,0,18900,6.0
179,0,19012,7.0
180,0,19019,8.25
181,0,19387,6.0
182,0,19433,6.0
183,0,19436,6.0
184,1,346,10.0
185,1,541,7.0
186,1,814,8.0
187,1,893,9.0
188,1,2758,7.0
189,1,2932,8.0
190,1,3604,10.0
191,1,4965,6.0
192,1,5818,10.0
193,1,6337,8.0
194,1,6732,10.0
195,1,7001,8.0
196,1,7454,9.0
197,1,9106,7.0
198,1,9157,7.0
199,1,9474,9.0
200,1,9595,8.0
201,1,9914,8.0
202,1,10058,10.0
203,1,10343,7.0
204,1,10611,7.0
205,1,11156,9.0
206,1,11848,8.0
207,1,12551,9.0
208,1,12705,8.0
209,1,12830,8.0
210,1,14252,10.0
211,1,14303,8.0
212,1,14332,8.0
213,1,15630,8.0
214,1,15644,7.0
215,1,16101,9.0
216,1,16276,7.0
217,1,16288,8.0
218,1,16486,8.0
219,1,16698,7.0
220,1,16828,9.0
221,1,16879,8.0
222,1,17844,9.0
223,1,18282,7.0
224,2,5,9.9
225,2,279,8.8
226,2,792,7.1
227,2,858,8.9
228,2,905,8.4
229,2,1093,8.5
230,2,1206,7.4
231,2,1211,7.9
232,2,1346,6.5
233,2,1799,7.8
234,2,3213,7.0
235,2,3254,8.0
236,2,3314,5.0
237,2,3413,6.4
238,2,3524,7.1
239,2,3527,7.5
240,2,3539,8.1
241,2,4527,10.0
242,2,6182,8.5
243,2,6888,9.0
244,2,6896,7.4
245,2,6932,8.0
246,2,7600,8.9
247,2,8071,7.3
248,2,8115,10.0
249,2,8767,8.7
250,2,8974,9.0
251,2,9351,9.0
252,2,9771,4.0
253,2,10332,8.7
254,2,10430,9.5
255,2,10584,7.2
256,2,11537,9.0
257,2,12134,7.3
258,2,12231,9.5
259,2,12699,8.1
260,2,13435,7.2
261,2,13567,7.9
262,2,14236,9.9
263,2,14620,8.1
264,2,14648,8.8
265,2,14671,7.6
266,2,15255,9.1
267,2,15421,7.8
268,2,15457,8.0
269,2,15470,8.0
270,2,15542,6.4
271,2,16486,8.9
272,2,16698,8.2
273,2,16705,8.0
274,2,16706,8.8
275,2,16922,7.8
276,2,17063,7.1
277,2,17080,6.0
278,2,17245,6.0
279,2,17373,7.7
280,2,18282,9.5
281,2,18291,9.3
282,2,18293,9.5
283,2,18295,9.0
284,2,18297,9.9
285,2,18306,9.2
286,2,18308,9.2
287,2,18316,9.4
288,2,18318,10.0
289,2,18322,9.8
290,2,18327,10.0
291,2,18368,7.3
292,2,18507,7.9
293,2,18547,7.3
294,2,18655,9.5
295,2,19167,9.9
296,2,19219,7.2
297,3,792,8.5
298,3,815,7.5
299,3,911,7.5
